,Swordfish,Billfish,Yellowfin,Skipjack,Albacore,Bigeye,Blackfin,Offshore_predators,Mackerel,Wahoo,Dophinfish,Flying_fish,Coastal_predators,Mesopelagic_fish,Squid_small,Zooplankton,Phytoplankton,Imports,Effort_FAD,Catch_FAD,Market_FAD,FADs,Incentives_for_Maintenance,Incentives_for_Placing_FADs,Incentives_for_Monitoring,Conflict,Capacity_of_Exclusion,Distribution_of_Apprpriation_Rights,Income
Swordfish,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
Billfish,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yellowfin,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
Skipjack,0,1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
Albacore,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
Bigeye,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Blackfin,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0
Offshore_predators,0,1,1,1,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mackerel,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0
Wahoo,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0
Dophinfish,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Flying_fish,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Coastal_predators,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Mesopelagic_fish,1,1,1,1,1,1,0,0,0,1,0,-1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid_small,1,1,1,1,0,0,1,1,1,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zooplankton,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytoplankton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Imports,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effort_FAD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,-1,0,0
Catch_FAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,1,1,1,0,0,0,1
Market_FAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,1,1,0,0,0,1
FADs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,0,0,0,0
Incentives_for_Maintenance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
Incentives_for_Placing_FADs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0
Incentives_for_Monitoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0
Conflict,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-1,0,0,0
Capacity_of_Exclusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,1,1,-1,-1,0,0
Distribution_of_Apprpriation_Rights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,-1,-1,0
Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,-1
